line_id,sku,line_name,capable,rate_kgph
13,280169,P22,1,1356.0
0,280172,P09,1,716.0
1,280172,P10,0,635.0
2,280172,P11,1,770.0
3,280172,P12,0,608.0
4,280172,P13,1,748.0
5,280172,P14,0,689.0
6,280172,P15,1,630.0
7,280172,P16,1,800.0
8,280172,P17,0,1454.0
9,280172,P18,0,1486.0
10,280172,P19,0,1454.0
11,280172,P20,0,1475.0
12,280172,P21,0,1432.0
13,280172,P22,0,1356.0
0,280173,P09,1,716.0
1,280173,P10,1,635.0
2,280173,P11,1,770.0
3,280173,P12,0,608.0
4,280173,P13,1,748.0
5,280173,P14,0,689.0
6,280173,P15,1,630.0
7,280173,P16,1,800.0
8,280173,P17,0,1454.0
9,280173,P18,0,1486.0
10,280173,P19,0,1454.0
11,280173,P20,0,1475.0
12,280173,P21,0,1432.0
13,280173,P22,0,1356.0
0,280174,P09,0,716.0
1,280174,P10,0,635.0
2,280174,P11,0,770.0
3,280174,P12,1,608.0
4,280174,P13,0,748.0
5,280174,P14,0,689.0
6,280174,P15,0,630.0
7,280174,P16,0,800.0
8,280174,P17,0,1454.0
9,280174,P18,0,1486.0
10,280174,P19,0,1454.0
11,280174,P20,0,1475.0
12,280174,P21,0,1432.0
13,280174,P22,0,1356.0
0,280178,P09,0,716.0
1,280178,P10,0,635.0
2,280178,P11,0,770.0
3,280178,P12,0,608.0
4,280178,P13,0,748.0
5,280178,P14,0,689.0
6,280178,P15,1,630.0
7,280178,P16,0,800.0
8,280178,P17,0,1454.0
9,280178,P18,0,1486.0
10,280178,P19,0,1454.0
11,280178,P20,0,1475.0
12,280178,P21,0,1432.0
13,280178,P22,0,1356.0
0,280184,P09,1,716.0
1,280184,P10,1,635.0
2,280184,P11,1,770.0
3,280184,P12,1,608.0
4,280184,P13,1,748.0
5,280184,P14,1,689.0
6,280184,P15,1,630.0
7,280184,P16,1,800.0
8,280184,P17,0,1454.0
9,280184,P18,0,1486.0
10,280184,P19,0,1454.0
11,280184,P20,0,1475.0
12,280184,P21,0,1432.0
