Year Start,Month Start,Day Start,Machine,Product,Tons,gen_idtypemaille,Year End,Month End,Day End,Hours
2027,3,29,P03,280105,29.601,4,2027,4,5,39.722
2027,4,12,P03,280105,33.62,4,2027,4,19,45.115
2027,5,17,P03,280105,32.67,4,2027,5,24,43.841
2027,6,7,P03,280105,25.732,4,2027,6,14,34.53
2027,6,14,P03,280105,34.79,4,2027,6,21,46.685
2027,6,21,P03,280105,36.16,4,2027,6,28,48.524
2027,7,19,P03,280105,77.316,4,2027,7,26,103.753
2027,8,9,P03,280105,62.968,4,2027,8,16,84.498
2027,8,30,P03,280105,42.216,4,2027,9,6,56.65
2027,9,20,P03,280105,40.385,4,2027,9,27,54.193
2027,9,27,P03,280105,22.561,4,2027,10,4,30.276
2027,10,4,P03,280105,30.66,4,2027,10,11,41.143
2027,10,25,P03,280105,31.46,4,2027,11,1,42.217
2027,11,1,P03,280105,14.285,4,2027,11,8,19.169
2027,11,8,P03,280105,28.6,4,2027,11,15,38.379
2027,11,15,P03,280105,56.7,4,2027,11,22,76.087
2027,11,29,P03,280105,27.42,4,2027,12,6,36.795
2027,12,13,P03,280105,30.27,4,2027,12,20,40.62
2027,12,20,P03,280105,15.16,4,2027,12,27,20.344
2028,1,3,P03,280105,3.556,4,2028,1,10,4.772
2028,1,10,P03,280105,26.17,4,2028,1,17,35.118
2028,1,17,P03,280105,13.065,4,2028,1,24,17.532
2028,1,24,P03,280105,6.824,4,2028,1,31,9.158
2026,9,14,P03,280106,47.059,4,2026,9,21,62.247
2026,10,5,P03,280106,18,4,2026,10,12,23.54
2026,10,12,P03,280106,24.182,4,2026,10,19,31.625
2026,10,26,P03,280106,18,4,2026,11,2,23.54
2026,12,14,P03,280106,36.901,4,2026,12,21,50.395
2027,2,15,P03,280106,18,4,2027,2,22,24.155
2027,3,29,P03,280106,18,4,2027,4,5,24.155
2027,4,12,P03,280106,18,4,2027,4,19,24.155
2027,5,17,P03,280106,18.783,4,2027,5,24,25.205
2027,6,7,P03,280106,18,4,2027,6,14,24.155
2027,6,21,P03,280106,18,4,2027,6,28,24.155
2027,7,26,P03,280106,32.322,4,2027,8,2,43.374
2027,8,16,P03,280106,37.294,4,2027,8,23,50.045
2027,9,13,P03,280106,32.382,4,2027,9,20,43.454
2027,10,4,P03,280106,14.32,4,2027,10,11,19.216
2027,10,25,P03,280106,15.006,4,2027,11,1,20.137
2027,11,1,P03,280106,5.44,4,2027,11,8,7.3
