line,sku,is_double_line,first_run,last_run,n_runs,hrs,kg,rate_kgph,rate_p20,rate_p80,oee_mean_hw,recent_n_runs,recent_hrs,recent_kg,recent_rate_kgph,recent_rate_p20,recent_rate_p80,recent_oee_mean_hw,low_evidence,capable,calc_rate_kgph,in_capability_table,measured_over_calc,recent_over_calc
P19,280590,True,2025-04-11,2025-04-11,1,40.0,58102.0,1452.5,1452.5,1452.5,0.6466,1.0,40.0,58102.0,1452.5,1452.5,1452.5,0.6466,True,1.0,1454.0,True,0.999,0.999
P19,280591,True,2025-04-16,2025-04-16,1,14.0,20801.0,1485.8,1485.8,1485.8,0.6614,1.0,14.0,20801.0,1485.8,1485.8,1485.8,0.6614,True,1.0,1454.0,True,1.022,1.022
P20,120436,True,2024-05-02,2026-07-08,17,900.8,1354687.0,1504.0,1364.6,1646.8,0.6695,12.0,612.8,945743.0,1543.4,1365.8,1757.0,0.6871,False,1.0,1475.0,True,1.02,1.046
P20,120437,True,2024-05-08,2026-07-10,5,245.0,370656.0,1512.9,1391.7,1668.2,0.6878,4.0,161.0,247723.0,1538.7,1309.0,1676.8,0.7068,False,1.0,1475.0,True,1.026,1.043
P20,120448,True,2024-04-09,2026-08-30,18,806.8,1085772.0,1345.9,1183.4,1576.4,0.5991,13.0,526.8,695072.0,1319.5,1053.8,1479.9,0.5874,False,1.0,1475.0,True,0.912,0.895
P20,120463,True,2025-02-16,2025-02-16,1,24.0,41693.0,1737.2,1737.2,1737.2,0.7733,1.0,24.0,41693.0,1737.2,1737.2,1737.2,0.7733,True,0.0,1475.0,True,1.178,1.178
P20,120464,True,2024-06-23,2026-02-08,26,1386.9,1952818.0,1408.0,1229.2,1709.0,0.6268,25.0,1346.9,1894172.0,1406.3,1123.4,1711.8,0.626,False,,,False,,
P20,241283,True,2025-06-26,2025-06-26,1,24.0,29318.0,1221.6,1221.6,1221.6,0.5438,1.0,24.0,29318.0,1221.6,1221.6,1221.6,0.5438,True,1.0,1475.0,True,0.828,0.828
P20,241287,True,2024-05-05,2026-02-18,13,599.0,927829.0,1549.0,1432.6,1657.5,0.6895,7.0,355.0,553048.0,1557.9,1438.0,1657.0,0.6935,False,,,False,,
P20,251200,True,2025-02-03,2026-03-01,6,328.0,449732.0,1371.1,1307.8,1645.6,0.6104,6.0,328.0,449732.0,1371.1,1307.8,1645.6,0.6104,False,1.0,1475.0,True,0.93,0.93
P20,280103,True,2024-07-16,2026-08-05,26,1216.5,1781525.0,1464.5,1311.9,1641.2,0.6555,22.0,921.5,1338100.0,1452.1,1235.3,1640.3,0.6512,False,1.0,1475.0,True,0.993,0.984
P20,280104,True,2025-07-09,2026-08-03,3,112.0,146253.0,1305.8,1092.5,1444.9,0.6682,3.0,112.0,146253.0,1305.8,1092.5,1444.9,0.6682,False,1.0,1475.0,True,0.885,0.885
P20,280105,True,2024-06-30,2025-10-29,9,270.0,419380.0,1553.3,1436.7,1677.6,0.6914,7.0,200.0,311869.0,1559.3,1414.9,1683.8,0.6942,False,,,False,,
P20,280106,True,2024-04-16,2025-11-09,6,241.0,267974.0,1111.9,805.8,1554.2,0.495,3.0,124.0,108993.0,879.0,745.2,1063.0,0.3913,False,,,False,,
P20,280107,True,2025-06-15,2026-08-24,3,174.0,243887.0,1401.7,1021.2,1596.8,0.624,3.0,174.0,243887.0,1401.7,1021.2,1596.8,0.624,False,1.0,1475.0,True,0.95,0.95
P20,280166,True,2024-04-08,2025-12-03,13,674.5,952340.0,1411.9,1193.3,1542.1,0.6285,8.0,480.0,697522.0,1453.2,1311.3,1578.1,0.6469,False,,,False,,
P20,280169,True,2024-04-29,2026-08-11,28,1379.5,2016513.0,1461.8,1310.0,1632.0,0.6507,20.0,1041.5,1546119.0,1484.5,1302.0,1674.1,0.6608,False,1.0,1475.0,True,0.991,1.006
P20,280244,True,2024-06-07,2025-06-11,12,542.0,867906.0,1601.3,1407.7,1781.2,0.7128,8.0,392.0,641278.0,1635.9,1499.9,1777.8,0.7282,False,,,False,,
P20,280245,True,2024-06-18,2024-06-25,2,184.0,273177.0,1484.7,1393.9,1543.9,0.6609,,,,,,,,True,,,False,,
P20,280246,True,2024-06-09,2024-08-29,3,179.0,223149.0,1246.6,834.4,1635.0,0.555,,,,,,,,False,,,False,,
P20,280264,True,2025-02-06,2025-02-09,2,112.0,170086.0,1518.6,1434.4,1630.9,0.676,2.0,112.0,170086.0,1518.6,1434.4,1630.9,0.676,True,1.0,1475.0,True,1.03,1.03
P20,280318,True,2024-08-04,2026-08-30,9,319.0,475611.0,1490.9,1374.7,1722.4,0.6637,7.0,288.0,433105.0,1503.8,1379.7,1746.3,0.6694,False,1.0,1475.0,True,1.011,1.02
P20,280323,True,2023-12-06,2026-07-28,11,497.8,716771.0,1440.0,1211.5,1729.1,0.641,7.0,273.8,381431.0,1393.4,1136.3,1638.1,0.6203,False,1.0,1475.0,True,0.976,0.945
P20,280324,True,2024-04-21,2026-07-26,17,956.5,1526499.0,1595.9,1427.4,1767.0,0.7104,15.0,884.5,1446258.0,1635.1,1502.0,1772.8,0.7279,False,1.0,1475.0,True,1.082,1.109
P20,280344,True,2024-05-17,2026-09-01,22,871.1,1221176.0,1401.8,1274.3,1579.7,0.6287,15.0,579.1,831676.0,1436.1,1307.2,1635.7,0.6464,False,1.0,1475.0,True,0.95,0.974
P20,280351,True,2025-11-02,2025-11-02,1,64.0,82206.0,1284.5,1284.5,1284.5,0.5718,1.0,64.0,82206.0,1284.5,1284.5,1284.5,0.5718,True,0.0,1475.0,True,0.871,0.871
