line,from_sku,to_sku,n,recent_n,last_seen,setup_hours,ttp_change,ffs_change,tpld_change,cspkr_change,conv_to_org,cinn_to_non_cinn,added_flavors,cip_req_after,in_changeover_table
P13,280425,280121,1,1,2025-03-31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P13,280425,280264,1,1,2024-09-14,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
P13,280450,280246,1,0,2024-08-12,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
P13,280480,280121,1,1,2025-04-01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-2.0,0.0,True
P13,280480,280222,1,1,2025-04-16,1.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True
P13,280490,280576,1,1,2025-06-04,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P13,280517,280246,1,0,2024-07-18,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
P13,280517,280264,1,0,2024-07-01,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
P13,280517,280425,1,0,2024-06-22,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P13,280574,280244,1,1,2025-06-13,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
P13,280576,280574,1,1,2025-06-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,True
P14,120430,120431,21,4,2026-02-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120436,120437,18,2,2026-08-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120437,120436,17,3,2025-08-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120436,120448,16,2,2025-04-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280166,120430,13,0,2024-09-03,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,280238,280239,13,0,2023-04-24,,,,,,,,,,False
P14,120437,120448,12,3,2025-11-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120532,120431,12,3,2025-12-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280236,280238,12,0,2023-04-23,,,,,,,,,,False
P14,120431,120437,11,4,2025-11-06,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120436,280166,11,2,2025-10-06,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120448,120437,11,2,2026-03-15,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120436,120430,10,2,2024-11-19,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120430,120433,9,2,2025-10-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120431,120536,9,3,2025-07-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120437,120444,9,1,2025-05-25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
