sku,line,hrs,n_runs,share_of_sku_hrs,recent_hrs,recent_n_runs,recent_share_of_sku_hrs,rank_by_recent_hrs
280012,P11,38.0,2,0.295,,,,
280012,P12,44.0,3,0.341,,,,
280012,P14,12.0,1,0.093,,,,
280013,P13,24.0,2,0.033,24.0,2.0,1.0,1.0
280013,P09,8.0,1,0.011,,,,
280013,P10,16.0,1,0.022,,,,
280013,P11,60.0,3,0.082,,,,
280013,P12,228.0,10,0.312,,,,
280013,P14,274.87,20,0.376,,,,
280013,P15,36.0,2,0.049,,,,
280013,P16,84.0,2,0.115,,,,
280039,P09,181.0,3,0.431,,,,
280039,P11,79.45,2,0.189,,,,
280039,P13,159.57,3,0.38,,,,
280040,P09,125.75,7,0.146,,,,
280040,P10,54.0,3,0.063,,,,
280040,P11,70.0,2,0.081,,,,
280040,P12,45.0,2,0.052,,,,
280040,P13,88.52,5,0.103,,,,
280040,P14,190.25,4,0.22,,,,
280040,P15,67.0,3,0.078,,,,
280040,P16,222.32999999999998,5,0.258,,,,
280052,P09,3133.4700000000003,56,0.099,,,,
280052,P10,2016.48,33,0.064,,,,
280052,P11,3136.25,55,0.099,,,,
280052,P12,16.73,2,0.001,,,,
280052,P13,4846.47,82,0.153,,,,
280052,P14,24.0,2,0.001,,,,
280052,P15,3740.02,65,0.118,,,,
280052,P16,8488.627,114,0.269,,,,
280052,P17,3769.0,61,0.119,,,,
280052,P18,2412.75,38,0.076,,,,
280052,P19,13.0,1,0.0,,,,
280065,P09,3211.88,70,1.0,,,,
280068,P09,274.82,9,0.077,,,,
280068,P10,1722.55,27,0.484,,,,
280068,P11,1551.15,29,0.436,,,,
280068,P13,8.0,1,0.002,,,,
280086,P11,24.0,1,0.316,,,,
280086,P14,52.0,4,0.684,,,,
280087,P11,3.5,1,0.036,,,,
280087,P12,24.0,2,0.246,,,,
280087,P13,16.0,1,0.164,,,,
280087,P14,16.0,1,0.164,,,,
280087,P15,38.0,1,0.39,,,,
280090,P14,825.0,40,0.594,433.0,21.0,0.826,1.0
280090,P12,563.5,22,0.406,91.0,4.0,0.174,2.0
280093,P11,24.0,3,0.038,,,,
280093,P12,606.27,30,0.962,,,,
280095,P12,688.0,35,1.0,,,,
280096,P12,659.25,33,1.0,,,,
280098,P12,48.0,2,0.19,,,,
280098,P13,24.0,1,0.095,,,,
280098,P14,168.0,8,0.667,,,,
280098,P16,12.0,1,0.048,,,,
280103,P20,1216.5,26,0.171,921.5,22.0,0.32,1.0
280103,P18,892.0,16,0.126,794.0,13.0,0.276,2.0
280103,P17,1252.5,28,0.176,532.0,10.0,0.185,3.0
280103,P09,1506.9,44,0.212,335.0,14.0,0.116,4.0
280103,P22,177.0,4,0.025,177.0,4.0,0.061,5.0
280103,P15,2054.5,41,0.289,120.0,3.0,0.042,6.0
280104,P09,1366.59,38,0.383,369.0,13.0,0.361,1.0
280104,P18,358.0,8,0.1,358.0,8.0,0.35,2.0
280104,P20,112.0,3,0.031,112.0,3.0,0.11,3.0
280104,P15,1079.0,27,0.303,94.5,3.0,0.093,4.0
280104,P22,76.0,3,0.021,76.0,3.0,0.074,5.0
280104,P17,573.0,9,0.161,12.0,1.0,0.012,6.0
280105,P18,530.0,11,0.074,490.0,10.0,0.399,1.0
280105,P17,1172.25,23,0.163,306.0,5.0,0.249,2.0
280105,P20,270.0,9,0.038,200.0,7.0,0.163,3.0
280105,P15,1990.783,40,0.277,90.0,2.0,0.073,4.0
280105,P09,3148.9,77,0.438,79.0,4.0,0.064,5.0
280105,P19,64.0,1,0.009,64.0,1.0,0.052,6.0
280105,P12,5.0,1,0.001,,,,
280105,P16,12.0,1,0.002,,,,
280106,P20,241.0,6,0.086,124.0,3.0,0.31,1.0
280106,P09,1095.55,25,0.39,115.0,4.0,0.288,2.0
280106,P15,875.0,27,0.311,89.0,5.0,0.222,3.0
280106,P18,127.0,3,0.045,72.0,2.0,0.18,4.0
280106,P17,473.0,7,0.168,,,,
280107,P14,1108.53,44,0.267,385.03,13.0,0.297,1.0
280107,P12,1485.88638298,49,0.359,338.0,11.0,0.261,2.0
