mo_start_date,LINE,MO,PRODUCT CODE,Sum of OEE,Max of mo_scheduled_hrs,pouches_produced,pouch_weight_g,kg_per_hr
43252,P12,5697,280134,0.811626273,36.5,369712,90,911.62
43252,P13,5698,242027,0.726204351,33,299080,90,815.67
43252,P14,5699,120437,0.796442308,30,298188,90,894.56
43252,P16,5700,280133,0.802297312,35.2,352446,90,901.14
43253,P10,5652,280135,0.840890688,9.5,99696,90,944.49
43255,P09,5654,242027,0.765767757,87,831440,90,860.11
43255,P10,5678,280068,0.640804598,29,231920,90,719.75
43255,P11,5660,280068,0.819916222,101,1033488,90,920.93
43255,P12,5664,280095,0.444602049,27,135408,110,551.66
43255,P13,5666,242027,0.795966375,128.43,1275780,90,894.03
43255,P14,5671,280133,0.896488294,69,771984,90,1006.94
43255,P16,5674,280134,0.819847605,53,542280,90,920.85
43256,P10,5658,242027,0.745160256,100,929960,90,836.96
43256,P12,5663,280096,0.547857565,24,148316,110,679.78
43257,P12,5662,280093,0.799182427,18,162266,110,991.63
43257,P16,5673,251200,0.731810897,24,219192,90,821.97
43258,P09,5655,280105,0.717834249,42,376260,90,806.27
43258,P12,5665,280133,0.753295357,59.5,559367,90,846.10
43258,P14,5668,120450,0.645259081,24,193268,90,724.76
43258,P16,5718,280135,0.795598725,50.22,498638,90,893.62
43259,P11,5676,280086,0.434281517,24,130076,90,487.79
43259,P14,5669,120453,0.721794872,16,144128,90,810.72
43259,P14,5670,120431,0.771138584,21,202100,90,866.14
43260,P11,5677,280087,0.803205128,3.5,35084,90,902.16
43262,P09,5701,242027,0.772286822,43,414440,90,867.43
43262,P10,5705,242027,0.563579622,19,133636,90,633.01
43262,P10,5706,280068,0.753350333,90.5,850864,90,846.16
43262,P11,5707,242027,0.775106838,27,261180,90,870.60
43262,P12,5709,120431,0.78525641,59,578200,90,882.00
43262,P13,5711,242027,0.825935897,75,773076,90,927.69
43262,P14,5713,242030,0.768952991,75,719740,90,863.69
43262,P16,5715,242027,0.752307692,75,704160,90,844.99
43263,P09,5702,280107,0.625335082,22,171692,90,702.38
43263,P11,5708,280135,0.796785906,71.5,710988,90,894.95
43264,P09,5703,280114,0.548477564,16,109520,90,616.05
43264,P12,5710,120465,0.790611645,48,473608,90,888.02
43265,P09,5704,280135,0.830276134,29.25,303084,90,932.57
43265,P13,5712,280039,0.802631297,35.87,359304,90,901.52
43265,P14,5714,280133,0.769203059,34.7,333108,90,863.97
43265,P16,5716,241288,0.536651142,32,214317,90,602.77
43266,P12,5780,120430,0.975384615,3.75,45648,90,1095.55
43266,P16,5779,280135,0.697115385,6,52200,90,783.00
43269,P09,5733,242027,0.794240864,127,1258840,90,892.09
43269,P10,5735,280068,0.734043659,74,677904,90,824.48
43269,P11,5738,241283,0.813906695,27,274254,90,914.18
43269,P12,5741,120450,0.805430403,35,351812,90,904.66
43269,P13,5764,280039,0.808277161,97,978468,90,907.86
43269,P14,5747,280115,0.782338057,19,185508,90,878.72
