sku,ediact_sku_description,ediact_sku_format,recipe,casepacker_format,topload_format,pouch_format,is_organic,flavor_count,has_cinnamon
280245,6X12X90 ACIN GGS BTS,6X12X90,ACIN GGS BTS,6,12,90,0,1,1
280246,6X12X90 VP APL-BAN-STB GGS BTS,6X12X90,VP APL-BAN-STB GGS BTS,6,12,90,0,4,0
280247,1X20X120 BIG VP RSPSTB-APERCIN,1X20X120,BIG VP RSPSTB-APERCIN,1,20,120,0,2,1
280256,1X24X90 KIRKLAND ORG UNSWT APL,1X24X90,KIRKLAND ORG UNSWT APL,1,24,90,1,1,0
280264,6X12X90 WALMRT F&V PEC-BER-STB,6X12X90,WALMRT F&V PEC-BER-STB,6,12,90,0,3,0
280281,4X12X90 FV VP ABERCAR-APERCAR,4X12X90,FV VP ABERCAR-APERCAR,4,12,90,0,2,0
280298,4X12X90 FV VP APECSWP-ASTBZUC,4X12X90,FV VP APECSWP-ASTBZUC,4,12,90,0,2,0
280318,6X12X90 VP APL-MNG-RSPLEM CAN,6X12X90,VP APL-MNG-RSPLEM CAN,6,12,90,0,3,0
280322,2X48X90 VP APL-STB-CIN GGS,2X48X90,VP APL-STB-CIN GGS,2,48,90,0,3,1
280323,1X32X90 APL GGS,1X32X90,APL GGS,1,32,90,0,1,0
280324,1X32X90 VP APL-CIN-STB-GM5 GGS,1X32X90,VP APL-CIN-STB-GM5 GGS,1,32,90,0,4,1
280325,1X24X90 FV VP APECSWP-ASTBZUC,1X24X90,FV VP APECSWP-ASTBZUC,1,24,90,0,2,0
280344,2X20X90 FV VP BER-PEC-PER DINO,2X20X90,FV VP BER-PEC-PER DINO,2,20,90,0,3,0
280345,6X4X90 APL APL GGS,6X4X90,APL APL GGS,6,4,90,0,1,0
280347,6X4X90 APL STB GGS,6X4X90,APL STB GGS,6,4,90,0,1,0
280348,1X48X90 VP APL-CIN GGS,1X48X90,VP APL-CIN GGS,1,48,90,0,2,1
280351,1X24X90 KIRK ORG STBSPN-MANPEC,1X24X90,KIRK ORG STBSPN-MANPEC,1,24,90,1,2,0
280355,6X12X90 FV ABERCAR-APERCAR BTS,6X12X90,FV ABERCAR-APERCAR BTS,6,12,90,0,2,0
280356,2X20X90 FV VP ABERCAR-APECSWP,2X20X90,FV VP ABERCAR-APECSWP,2,20,90,0,2,0
280357,1X20X120 BIG VP ARSPSTB-ACIN,1X20X120,BIG VP ARSPSTB-ACIN,1,20,120,0,2,1
280358,6X12X90 VP APL-STB BTS CAN,6X12X90,VP APL-STB BTS CAN,6,12,90,0,2,0
280359,6X12X90 VP APL-BAN BTS CAN,6X12X90,VP APL-BAN BTS CAN,6,12,90,0,2,0
280375,6X8X110 GUTZY ORG ARSPBLBBET,6X8X110,GUTZY ORG ARSPBLBBET,6,8,110,1,1,0
280376,6X8X110 GUTZY ORG SPINKWIKALE,6X8X110,GUTZY ORG SPINKWIKALE,6,8,110,1,1,0
280377,6X8X110 GUTZY ORG STRAWBLBGIN,6X8X110,GUTZY ORG STRAWBLBGIN,6,8,110,1,1,0
280378,6X8X110 GUTZY ORG PINEPASGIN,6X8X110,GUTZY ORG PINEPASGIN,6,8,110,1,1,0
280379,6X8X110 GUTZY ORG BANABLBPOM,6X8X110,GUTZY ORG BANABLBPOM,6,8,110,1,1,0
280380,6X8X110 GUTZY ORG STRAWKWIKALE,6X8X110,GUTZY ORG STRAWKWIKALE,6,8,110,1,1,0
280383,12X4X90 TROPZ MANGVA CAN,12X4X90,TROPZ MANGVA CAN,12,4,90,0,1,0
280384,12X4X90 TROPZ PINPAS CAN,12X4X90,TROPZ PINPAS CAN,12,4,90,0,1,0
280385,12X4X90 TROPZ ALIMORNGLEM CAN,12X4X90,TROPZ ALIMORNGLEM CAN,12,4,90,0,1,0
280391,2X20X90 VP APL-MANGVA-PINPAS,2X20X90,VP APL-MANGVA-PINPAS,2,20,90,0,3,0
280397,6X8X110 GUTZY ORGPRO BANBLUACA,6X8X110,GUTZY ORGPRO BANBLUACA,6,8,110,1,1,0
280399,2X20X90 APL-BAN-STB GGS SPACE,2X20X90,APL-BAN-STB GGS SPACE,2,20,90,0,3,0
280405,1X24X90 ORG STK-PIK-BB-STG CAN,1X24X90,ORG STK-PIK-BB-STG CAN,1,24,90,1,4,0
280412,1X20X90 FV VP BER-PEC-PER DINO,1X20X90,FV VP BER-PEC-PER DINO,1,20,90,0,3,0
280421,2X20X90 VP APL-STB-BAN-PEC CAN,2X20X90,VP APL-STB-BAN-PEC CAN,2,20,90,0,4,0
280425,6X12X90 ORG FV ABERCAR-APECSWP,6X12X90,ORG FV ABERCAR-APECSWP,6,12,90,1,2,0
280426,6X4X110 GUTZY ORG STRAWKWIKALE,6X4X110,GUTZY ORG STRAWKWIKALE,6,4,110,1,1,0
280432,6X12X90 FV VP BLBSPN-PERZUCLIM,6X12X90,FV VP BLBSPN-PERZUCLIM,6,12,90,0,2,0
280434,6X12X90 FV APECSWP-APERCAR CAN,6X12X90,FV APECSWP-APERCAR CAN,6,12,90,0,2,0
280436,6X4X110 GUTZY ORG BANABLBPOM,6X4X110,GUTZY ORG BANABLBPOM,6,4,110,1,1,0
280437,2X20X90 VP APL-APKNCIN HALLOWN,2X20X90,VP APL-APKNCIN HALLOWN,2,20,90,0,2,1
280450,6X12X90 TROP MANGVA-PINPAS CAN,6X12X90,TROP MANGVA-PINPAS CAN,6,12,90,0,2,0
280451,2X20X90 PINPAS-STB-PER-MAN CAN,2X20X90,PINPAS-STB-PER-MAN CAN,2,20,90,0,4,0
