block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
cs_6d5b2a7373,cip,1,P10,85.0,91.0,CIP,,,anti-static needs worked on during CIP. WO#569452,0.0,True,current_state:cip_scheduled
cs_cead457ffe,production,1,P10,91.0,103.781,280351,29902,280351,1X24X90 KIRK ORG STBSPN-MANPEC,17733.44,True,current_state:running;pct=53.8;started=2026-08-09T00:15;clamped_to_anchor;split
cs_39e7f36c7f,production,1,P10,127.781,229.0,280351,29993,280351,1X24X90 KIRK ORG STBSPN-MANPEC,81028.35,False,current_state:queued;pct=0.0;split
cs_31b5484bb4,cip,1,P10,229.0,235.0,CIP (projected),,,anti-static needs worked on during CIP. WO#569452,0.0,False,current_state:cip_projected
cs_39e7f36c7f,production,1,P10,235.0,271.191,280351,29993,280351,1X24X90 KIRK ORG STBSPN-MANPEC,28971.81,False,current_state:queued;pct=0.0;split
cs_2f899c492c,cip,1,P10,373.0,379.0,CIP (projected),,,anti-static needs worked on during CIP. WO#569452,0.0,False,current_state:cip_projected
cs_cfae9d7c43,cip,2,P11,144.0,150.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_0634b24931,cip,2,P11,288.0,294.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_a088150b45,cip,2,P11,432.0,438.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_68a81eaaa6,production,3,P12,0.0,22.12,280611,29906,280611,9X4X100 SLY BLURSB GGS,20001.6,True,current_state:running;pct=99.8;started=2026-08-11T10:00;clamped_to_anchor
cs_04c1b17227,production,3,P12,62.12,88.73,280614,29907,280614,6X10X100 SLY STBLEM GGS,19998.0,False,current_state:queued;pct=0.0
cs_62de96c039,cip,3,P12,118.05,124.05,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_1e70db92ff,cip,3,P12,238.05,244.05,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_09710df56f,cip,3,P12,358.05,364.05,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_27bd8a9f80,cip,3,P12,478.05,484.05,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_ca60aff986,cip,4,P13,144.0,150.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_d635a22e73,cip,4,P13,288.0,294.0,CIP (projected),,,,0.0,False,current_state:cip_projected
cs_8ffaaeac5a,cip,4,P13,432.0,438.0,CIP (projected),,,,0.0,False,current_state:cip_projected
